B,G,R,TONE
140,182,251,fair
152,188,226,fair
147,188,233,fair
135,172,228,fair
143,165,230,fair
165,179,228,fair
164,180,227,fair
170,184,237,fair
149,186,254,fair
143,182,251,fair
129,164,227,fair
134,171,223,fair
165,176,228,fair
136,171,227,fair
136,180,243,fair
121,169,227,fair
134,170,224,fair
150,188,253,fair
164,185,237,fair
125,168,219,fair
157,176,221,fair
124,172,220,fair
167,174,237,fair
171,188,239,fair
131,171,230,fair
123,164,219,fair
148,185,237,fair
142,181,226,fair
147,184,234,fair
136,171,227,fair
171,188,231,fair
147,165,226,fair
137,176,244,fair
165,182,233,fair
151,189,253,fair
140,176,224,fair
130,169,221,fair
168,180,238,fair
149,168,235,fair
168,182,231,fair
171,185,237,fair
167,183,229,fair
148,187,249,fair
157,189,232,fair
168,180,234,fair
130,169,221,fair
133,166,222,fair
140,180,245,fair
157,175,222,fair
123,165,212,fair
151,189,253,fair
148,166,231,fair
149,179,226,fair
146,190,251,fair
142,164,229,fair
127,164,224,fair
166,178,232,fair
148,188,253,fair
167,180,236,fair
141,168,224,fair
134,172,226,fair
137,182,249,fair
136,176,225,fair
168,182,235,fair
144,180,226,fair
128,176,242,fair
171,187,230,fair
147,170,218,fair
129,168,220,fair
170,188,235,fair
163,179,225,fair
152,191,253,fair
136,176,225,fair
163,177,229,fair
138,165,232,fair
153,175,233,fair
152,190,254,fair
151,189,253,fair
125,167,212,fair
149,164,227,fair
164,178,227,fair
134,175,230,fair
126,167,229,fair
151,189,253,fair
151,175,235,fair
158,169,231,fair
135,173,221,fair
168,184,231,fair
150,164,230,fair
152,176,236,fair
152,168,235,fair
169,183,232,fair
150,188,252,fair
128,164,228,fair
160,176,223,fair
141,181,246,fair
169,185,228,fair
147,182,245,fair
167,191,245,fair
138,178,243,fair
143,186,243,fair
168,181,237,fair
151,192,254,fair
168,184,231,fair
157,196,234,fair
148,188,253,fair
167,180,232,fair
143,185,252,fair
127,165,219,fair
139,171,220,fair
141,173,222,fair
148,186,244,fair
153,174,235,fair
144,171,238,fair
160,178,241,fair
150,184,230,fair
153,170,221,fair
165,179,232,fair
166,177,234,fair
167,182,231,fair
164,180,239,fair
142,182,247,fair
167,180,226,fair
146,165,232,fair
133,164,225,fair
166,180,232,fair
154,173,234,fair
152,190,254,fair
147,165,228,fair
166,183,226,fair
129,169,218,fair
139,179,221,fair
130,169,221,fair
163,179,225,fair
126,166,218,fair
171,187,233,fair
133,175,222,fair
150,188,252,fair
152,166,232,fair
152,191,253,fair
154,173,216,fair
136,173,225,fair
162,178,224,fair
122,171,217,fair
139,175,221,fair
126,165,217,fair
165,181,227,fair
163,178,224,fair
170,183,239,fair
141,167,233,fair
144,181,225,fair
150,188,252,fair
144,165,226,fair
160,176,223,fair
168,182,235,fair
139,165,231,fair
148,191,248,fair
135,176,225,fair
147,164,237,fair
138,174,222,fair
137,167,222,fair
132,174,219,fair
152,164,228,fair
157,177,218,fair
157,192,236,fair
151,188,246,fair
127,171,225,fair
129,171,218,fair
151,169,230,fair
166,180,233,fair
142,164,229,fair
170,185,234,fair
128,164,218,fair
171,185,233,fair
165,178,230,fair
164,173,237,fair
148,182,225,fair
163,179,232,fair
126,170,217,fair
139,178,246,fair
158,195,253,fair
154,192,224,fair
152,183,244,fair
161,199,231,fair
149,188,250,fair
126,165,217,fair
145,185,250,fair
157,180,236,fair
161,176,225,fair
143,169,235,fair
162,178,224,fair
129,169,222,fair
144,184,249,fair
166,182,235,fair
168,184,230,fair
156,168,250,fair
144,184,249,fair
122,172,225,fair
148,175,239,fair
133,172,224,fair
168,184,231,fair
151,189,253,fair
129,172,215,fair
134,172,220,fair
162,178,231,fair
164,183,228,fair
162,182,237,fair
139,166,230,fair
149,186,254,fair
152,190,254,fair
145,188,251,fair
151,190,252,fair
142,180,252,fair
171,185,237,fair
132,172,224,fair
141,179,244,fair
151,173,244,fair
169,185,238,fair
160,194,254,fair
146,164,225,fair
167,183,225,fair
124,173,219,fair
134,169,219,fair
160,180,235,fair
145,185,250,fair
157,195,253,fair
152,190,254,fair
164,182,235,fair
144,164,229,fair
166,180,232,fair
153,175,233,fair
164,180,227,fair
165,182,238,fair
150,167,216,fair
162,181,232,fair
146,182,252,fair
164,178,231,fair
141,181,230,fair
137,177,226,fair
128,166,230,fair
151,165,231,fair
145,185,250,fair
145,185,233,fair
132,173,222,fair
167,181,233,fair
132,167,217,fair
167,188,239,fair
152,164,228,fair
167,174,237,fair
147,180,229,fair
170,184,237,fair
157,177,232,fair
168,184,231,fair
136,178,243,fair
170,184,233,fair
135,182,244,fair
169,182,238,fair
146,190,251,fair
151,189,253,fair
164,180,227,fair
133,177,241,fair
162,179,235,fair
152,180,240,fair
134,169,219,fair
163,193,242,fair
148,188,253,fair
147,167,232,fair
161,175,227,fair
160,188,252,fair
151,168,211,fair
137,167,232,fair
132,166,219,fair
141,181,246,fair
145,169,229,fair
141,183,242,fair
170,187,230,fair
147,190,247,fair
121,168,224,fair
152,164,228,fair
155,194,246,fair
126,165,220,fair
154,166,230,fair
134,174,222,fair
136,166,231,fair
159,188,249,fair
154,184,233,fair
152,190,254,fair
125,165,218,fair
167,182,231,fair
138,177,229,fair
128,167,219,fair
140,186,250,fair
149,187,252,fair
156,173,236,fair
149,190,252,fair
126,165,217,fair
141,167,227,fair
157,194,254,fair
167,182,231,fair
127,166,218,fair
152,169,220,fair
137,173,227,fair
127,168,217,fair
151,189,253,fair
132,167,223,fair
137,174,230,fair
148,166,231,fair
157,184,234,fair
170,186,233,fair
133,171,219,fair
171,187,233,fair
146,186,251,fair
171,184,236,fair
148,186,250,fair
150,188,242,fair
140,164,230,fair
156,178,236,fair
151,181,228,fair
140,179,248,fair
160,178,239,fair
163,177,229,fair
153,178,222,fair
133,172,216,fair
134,174,246,fair
153,186,231,fair
148,181,226,fair
149,187,252,fair
167,183,230,fair
141,183,248,fair
159,180,231,fair
147,188,250,fair
141,181,230,fair
148,186,250,fair
149,188,250,fair
149,185,231,fair
154,192,234,fair
127,169,216,fair
166,182,229,fair
138,165,229,fair
152,169,218,fair
144,177,227,fair
167,178,228,fair
150,185,228,fair
162,177,226,fair
159,178,235,fair
165,184,235,fair
150,188,252,fair
156,178,236,fair
148,184,232,fair
149,187,252,fair
164,178,226,fair
170,184,237,fair
143,168,230,fair
153,188,222,fair
156,177,239,fair
145,186,249,fair
148,170,235,fair
150,188,252,fair
162,176,229,fair
166,180,232,fair
123,169,227,fair
164,180,226,fair
145,184,252,fair
165,187,239,fair
142,182,247,fair
165,181,228,fair
146,177,238,fair
171,188,231,fair
142,165,227,fair
146,184,238,fair
170,186,228,fair
156,193,253,fair
131,172,221,fair
130,171,220,fair
149,175,235,fair
158,175,224,fair
149,184,227,fair
147,187,252,fair
157,177,232,fair
156,164,224,fair
143,183,248,fair
146,164,227,fair
135,176,225,fair
142,179,235,fair
134,165,234,fair
169,184,233,fair
167,183,226,fair
164,178,231,fair
155,172,215,fair
161,178,235,fair
149,189,254,fair
128,170,217,fair
161,183,225,fair
171,181,241,fair
135,179,243,fair
157,176,219,fair
123,169,223,fair
162,169,232,fair
127,168,217,fair
148,166,231,fair
137,178,227,fair
149,189,254,fair
129,169,218,fair
152,194,253,fair
167,181,230,fair
142,165,227,fair
125,167,220,fair
142,178,224,fair
167,183,226,fair
135,179,243,fair
148,187,239,fair
155,195,254,fair
152,190,254,fair
135,171,219,fair
141,181,229,fair
158,172,221,fair
152,190,254,fair
152,190,254,fair
142,185,252,fair
165,183,230,fair
147,186,254,fair
166,179,235,fair
142,185,248,fair
134,176,241,fair
168,182,234,fair
140,179,223,fair
130,169,221,fair
149,188,250,fair
131,168,220,fair
149,190,253,fair
152,167,216,fair
162,176,225,fair
126,166,218,fair
170,184,236,fair
126,166,215,fair
166,181,230,fair
130,168,222,fair
171,187,234,fair
147,166,227,fair
163,179,226,fair
148,164,230,fair
145,184,252,fair
163,177,230,fair
130,171,220,fair
151,189,253,fair
126,165,217,fair
148,185,245,fair
162,182,237,fair
163,183,231,fair
170,184,236,fair
130,165,221,fair
163,178,227,fair
152,185,230,fair
147,173,243,fair
142,182,247,fair
141,181,246,fair
151,189,253,fair
142,182,247,fair
152,190,254,fair
142,164,230,fair
162,177,226,fair
165,181,227,fair
159,176,219,fair
156,175,218,fair
149,193,254,fair
161,187,241,fair
142,184,243,fair
157,178,216,fair
167,183,229,fair
152,191,223,fair
161,174,226,fair
161,176,222,fair
152,169,220,fair
141,183,242,fair
136,171,221,fair
150,188,252,fair
138,176,234,fair
163,184,222,fair
167,181,239,fair
156,192,246,fair
145,180,230,fair
131,169,223,fair
142,164,229,fair
168,184,237,fair
169,183,232,fair
131,174,225,fair
144,179,252,fair
134,180,244,fair
147,183,231,fair
164,178,226,fair
148,185,253,fair
149,182,231,fair
167,180,236,fair
148,186,250,fair
136,169,225,fair
149,187,251,fair
140,182,229,fair
130,172,225,fair
158,169,231,fair
145,180,230,fair
147,173,233,fair
149,187,251,fair
134,169,225,fair
149,187,251,fair
141,183,242,fair
125,165,213,fair
130,170,222,fair
159,175,221,fair
148,191,248,fair
161,176,225,fair
164,178,231,fair
140,185,246,fair
123,165,218,fair
141,164,220,fair
152,168,235,fair
148,190,249,fair
156,196,254,fair
143,182,251,fair
159,177,236,fair
149,186,254,fair
148,188,253,fair
149,192,249,fair
141,181,246,fair
167,181,233,fair
148,188,253,fair
147,169,234,fair
162,176,229,fair
130,167,219,fair
130,166,220,fair
126,171,228,fair
150,174,234,fair
139,177,249,fair
151,187,251,fair
129,168,220,fair
169,185,231,fair
142,169,233,fair
170,187,243,fair
146,187,250,fair
140,180,238,fair
164,180,233,fair
151,164,226,fair
170,181,239,fair
161,179,226,fair
136,175,227,fair
129,173,227,fair
139,178,223,fair
146,186,251,fair
158,165,228,fair
139,179,244,fair
129,171,218,fair
150,166,233,fair
157,194,254,fair
161,178,221,fair
128,167,219,fair
139,179,244,fair
171,182,226,fair
137,173,219,fair
133,177,241,fair
167,179,233,fair
150,191,254,fair
158,196,254,fair
130,169,221,fair
128,167,219,fair
163,179,225,fair
159,177,224,fair
146,164,227,fair
150,188,252,fair
144,181,249,fair
142,181,236,fair
166,183,234,fair
155,175,230,fair
129,168,220,fair
149,186,254,fair
140,166,232,fair
156,176,231,fair
167,181,233,fair
159,196,254,fair
154,172,235,fair
128,171,220,fair
168,183,229,fair
135,179,243,fair
137,167,232,fair
168,178,232,fair
169,185,231,fair
145,179,222,fair
139,181,240,fair
170,180,234,fair
146,164,235,fair
133,167,220,fair
163,177,229,fair
170,183,229,fair
123,164,213,fair
153,164,232,fair
139,179,244,fair
157,178,229,fair
168,184,227,fair
145,185,233,fair
166,180,233,fair
147,187,252,fair
167,183,236,fair
128,167,219,fair
132,172,224,fair
169,185,232,fair
170,186,233,fair
144,168,222,fair
151,189,253,fair
159,182,238,fair
165,187,239,fair
151,188,250,fair
152,190,254,fair
145,170,226,fair
141,176,249,fair
143,165,230,fair
163,178,234,fair
167,181,234,fair
149,189,254,fair
154,191,253,fair
146,164,225,fair
128,164,228,fair
125,170,221,fair
126,164,218,fair
167,178,235,fair
153,167,220,fair
171,184,236,fair
136,170,236,fair
166,186,227,fair
145,178,228,fair
147,192,249,fair
124,164,213,fair
154,168,234,fair
147,183,253,fair
152,190,254,fair
150,189,251,fair
143,167,233,fair
128,170,229,fair
156,168,232,fair
166,187,249,fair
147,186,248,fair
146,182,228,fair
160,181,242,fair
169,185,238,fair
152,188,252,fair
157,175,222,fair
154,194,253,fair
151,189,237,fair
161,181,238,fair
143,178,221,fair
137,172,212,fair
127,166,218,fair
148,183,227,fair
168,182,234,fair
157,177,232,fair
162,176,228,fair
166,179,235,fair
139,180,229,fair
124,165,228,fair
149,167,230,fair
149,184,240,fair
148,186,250,fair
143,164,226,fair
159,173,222,fair
147,183,253,fair
148,183,249,fair
135,167,220,fair
168,183,232,fair
134,175,224,fair
135,176,225,fair
130,172,219,fair
124,164,217,fair
148,188,253,fair
149,165,232,fair
152,170,229,fair
124,165,228,fair
136,180,244,fair
170,186,233,fair
152,190,254,fair
142,180,222,fair
134,177,228,fair
157,175,222,fair
149,189,254,fair
146,171,227,fair
169,185,231,fair
162,176,228,fair
148,166,231,fair
167,190,238,fair
138,178,227,fair
167,181,234,fair
171,185,238,fair
155,169,228,fair
128,167,219,fair
131,170,222,fair
167,189,241,fair
151,188,250,fair
166,191,253,fair
162,176,228,fair
144,176,219,fair
140,174,227,fair
143,178,228,fair
139,176,232,fair
136,164,228,fair
131,165,219,fair
151,169,234,fair
144,185,248,fair
168,182,235,fair
135,172,222,fair
153,186,231,fair
136,181,242,fair
141,183,252,fair
137,178,227,fair
132,167,217,fair
162,173,230,fair
150,165,221,fair
131,168,218,fair
132,167,223,fair
152,164,228,fair
153,166,218,fair
158,164,229,fair
162,178,224,fair
149,186,254,fair
147,165,226,fair
151,193,252,fair
141,174,223,fair
134,167,223,fair
130,169,221,fair
171,185,238,fair
142,182,247,fair
143,183,248,fair
158,177,220,fair
139,175,221,fair
145,184,252,fair
157,179,237,fair
169,188,226,fair
168,186,233,fair
141,181,246,fair
170,183,239,fair
127,167,220,fair
150,188,252,fair
153,174,235,fair
131,165,218,fair
138,172,218,fair
145,167,232,fair
148,172,232,fair
148,173,235,fair
164,178,231,fair
126,167,229,fair
171,184,236,fair
167,183,230,fair
169,182,234,fair
145,170,234,fair
168,183,239,fair
164,178,230,fair
151,190,252,fair
166,182,228,fair
152,190,254,fair
131,171,223,fair
143,180,232,fair
136,172,226,fair
127,166,218,fair
150,188,253,fair
154,168,234,fair
162,172,232,fair
151,193,252,fair
132,176,240,fair
155,190,233,fair
137,184,246,fair
136,176,229,fair
152,190,254,fair
155,177,235,fair
148,185,229,fair
167,182,231,fair
169,183,236,fair
150,172,230,fair
170,185,234,fair
144,183,235,fair
166,180,233,fair
142,180,244,fair
137,176,220,fair
149,165,232,fair
143,185,244,fair
144,170,236,fair
163,168,229,fair
158,170,224,fair
149,167,232,fair
148,181,227,fair
159,191,244,fair
148,172,232,fair
148,166,231,fair
138,179,228,fair
155,192,254,fair
156,196,254,fair
161,175,227,fair
151,186,229,fair
152,190,254,fair
155,164,227,fair
152,190,254,fair
159,178,221,fair
170,188,229,fair
133,171,219,fair
155,195,254,fair
149,192,249,fair
160,174,223,fair
163,180,236,fair
143,183,248,fair
141,184,247,fair
125,169,223,fair
149,167,232,fair
148,185,229,fair
156,191,254,fair
133,169,223,fair
137,179,244,fair
131,166,229,fair
169,183,231,fair
168,183,239,fair
143,188,249,fair
160,195,251,fair
159,182,238,fair
167,178,228,fair
164,183,240,fair
148,168,233,fair
170,187,230,fair
163,198,238,fair
170,187,238,fair
163,179,222,fair
170,197,253,fair
165,177,231,fair
143,188,245,fair
139,169,228,fair
160,167,230,fair
136,171,221,fair
126,169,220,fair
144,186,251,fair
164,179,225,fair
147,189,248,fair
146,186,251,fair
147,178,241,fair
149,189,254,fair
144,183,252,fair
146,186,251,fair
171,187,234,fair
145,165,230,fair
146,164,225,fair
166,182,228,fair
168,187,244,fair
167,179,233,fair
131,171,229,fair
150,188,253,fair
138,173,217,fair
165,179,237,fair
164,178,227,fair
135,168,213,fair
161,176,232,fair
146,178,231,fair
162,178,224,fair
164,180,227,fair
148,184,254,fair
146,185,253,fair
169,185,231,fair
135,175,223,fair
148,185,253,fair
170,186,229,fair
131,170,222,fair
166,179,235,fair
170,183,229,fair
144,188,252,fair
144,180,226,fair
157,168,228,fair
165,180,226,fair
133,167,220,fair
138,178,226,fair
147,183,253,fair
138,175,227,fair
142,182,247,fair
159,194,228,fair
164,167,228,fair
171,185,237,fair
148,186,250,fair
169,184,233,fair
127,166,218,fair
159,179,220,fair
168,179,223,fair
164,178,230,fair
142,182,247,fair
141,181,246,fair
143,177,231,fair
146,185,237,fair
164,178,231,fair
166,179,235,fair
150,188,218,fair
144,184,249,fair
149,194,251,fair
136,177,226,fair
156,178,236,fair
153,170,233,fair
152,190,254,fair
162,185,223,fair
131,164,227,fair
129,164,220,fair
130,168,222,fair
151,185,231,fair
163,177,226,fair
133,167,221,fair
148,172,232,fair
146,187,250,fair
144,183,251,fair
135,165,222,fair
151,184,223,fair
146,186,251,fair
154,169,218,fair
121,168,229,fair
162,179,236,fair
133,164,219,fair
140,164,230,fair
169,181,235,fair
158,167,231,fair
140,164,230,fair
130,170,219,fair
151,192,254,fair
168,180,238,fair
143,165,230,fair
137,173,219,fair
162,169,232,fair
150,172,230,fair
140,166,212,fair
135,177,242,fair
167,181,233,fair
171,185,238,fair
130,169,221,fair
170,191,246,fair
151,189,253,fair
135,171,217,fair
131,166,222,fair
152,166,232,fair
138,171,221,fair
169,182,234,fair
155,192,254,fair
148,191,248,fair
166,180,229,fair
141,183,242,fair
166,182,235,fair
122,166,219,fair
151,189,253,fair
134,173,225,fair
157,177,218,fair
152,190,254,fair
152,164,228,fair
137,179,244,fair
161,200,239,fair
162,191,236,fair
150,183,246,fair
140,180,245,fair
139,187,253,fair
148,189,252,fair
140,173,218,fair
168,184,237,fair
149,167,230,fair
145,178,227,fair
151,188,232,fair
171,187,230,fair
138,175,225,fair
140,176,224,fair
129,168,223,fair
149,187,251,fair
127,165,219,fair
138,180,225,fair
167,181,233,fair
136,177,226,fair
168,188,236,fair
139,169,226,fair
133,176,239,fair
132,171,223,fair
150,183,233,fair
136,167,220,fair
162,178,225,fair
131,164,220,fair
164,186,238,fair
131,164,220,fair
166,174,233,fair
143,171,236,fair
156,196,254,fair
150,171,232,fair
138,165,232,fair
137,169,235,fair
152,182,231,fair
159,176,225,fair
158,178,233,fair
168,188,236,fair
163,173,237,fair
150,172,230,fair
141,168,225,fair
130,171,226,fair
165,181,228,fair
150,188,252,fair
137,177,225,fair
127,167,219,fair
167,183,230,fair
137,178,223,fair
165,180,229,fair
129,173,220,fair
150,166,219,fair
149,191,250,fair
126,166,219,fair
149,191,250,fair
147,165,230,fair
151,189,253,fair
129,169,218,fair
168,182,235,fair
145,182,232,fair
142,177,217,fair
144,186,251,fair
141,166,230,fair
164,175,232,fair
154,172,219,fair
143,178,244,fair
137,173,221,fair
167,187,235,fair
156,173,236,fair
160,180,235,fair
150,168,221,fair
171,185,233,fair
152,190,254,fair
136,178,243,fair
144,164,229,fair
145,182,226,fair
147,183,253,fair
130,167,217,fair
139,172,228,fair
132,173,222,fair
151,189,254,fair
170,184,237,fair
167,185,232,fair
150,168,233,fair
170,184,232,fair
153,169,216,fair
143,176,226,fair
170,184,237,fair
157,177,218,fair
133,166,222,fair
154,166,230,fair
168,180,238,fair
167,181,233,fair
151,188,232,fair
133,169,223,fair
171,186,235,fair
144,169,233,fair
149,167,228,fair
142,180,222,fair
138,168,223,fair
152,191,253,fair
140,182,251,fair
142,178,226,fair
149,187,251,fair
140,180,245,fair
142,185,252,fair
145,187,254,fair
133,172,224,fair
141,177,225,fair
169,183,235,fair
125,164,216,fair
146,185,253,fair
147,186,254,fair
145,165,230,fair
141,183,236,fair
167,188,240,fair
150,166,232,fair
147,174,241,fair
162,178,224,fair
149,173,233,fair
133,175,246,fair
148,185,253,fair
135,179,243,fair
146,183,227,fair
167,181,229,fair
164,176,224,fair
138,181,230,fair
139,166,217,fair
133,173,225,fair
126,164,218,fair
135,175,224,fair
155,176,227,fair
145,187,254,fair
162,182,237,fair
123,164,227,fair
150,183,239,fair
134,172,220,fair
144,184,249,fair
140,180,252,fair
149,166,229,fair
144,167,229,fair
147,169,227,fair
155,175,230,fair
138,165,229,fair
131,172,221,fair
170,184,237,fair
138,172,225,fair
139,176,220,fair
165,181,234,fair
167,181,230,fair
150,184,227,fair
129,169,222,fair
129,166,218,fair
153,171,218,fair
152,194,253,fair
150,188,252,fair
159,179,227,fair
136,178,243,fair
132,173,228,fair
140,180,245,fair
168,182,235,fair
164,178,231,fair
167,188,239,fair
167,183,236,fair
169,183,235,fair
167,185,232,fair
143,169,235,fair
140,180,245,fair
171,185,233,fair
165,179,228,fair
156,175,220,fair
137,167,232,fair
135,179,240,fair
128,167,219,fair
164,181,224,fair
133,168,232,fair
146,180,226,fair
139,179,232,fair
149,164,220,fair
161,175,224,fair
149,183,229,fair
163,185,237,fair
132,174,219,fair
127,165,229,fair
171,182,226,fair
131,167,215,fair
123,164,227,fair
142,178,226,fair
153,189,237,fair
147,182,232,fair
140,177,227,fair
169,183,236,fair
152,190,254,fair
142,175,238,fair
158,195,253,fair
126,172,230,fair
150,177,233,fair
127,169,212,fair
140,179,224,fair
171,185,238,fair
135,170,226,fair
142,176,229,fair
149,184,247,fair
170,186,229,fair
143,183,248,fair
155,176,237,fair
145,165,230,fair
152,170,217,fair
147,185,250,fair
142,168,235,fair
139,166,230,fair
135,170,220,fair
129,169,221,fair
154,172,237,fair
144,168,228,fair
153,171,232,fair
147,171,231,fair
166,182,228,fair
152,166,218,fair
141,164,232,fair
147,171,231,fair
139,177,231,fair
147,169,235,fair
167,180,232,fair
151,187,251,fair
170,186,232,fair
126,164,218,fair
141,165,231,fair
161,180,237,fair
170,186,233,fair
124,171,227,fair
140,179,224,fair
128,167,219,fair
170,184,236,fair
170,184,233,fair
151,189,253,fair
152,164,228,fair
164,185,236,fair
133,177,241,fair
134,165,220,fair
142,185,252,fair
159,196,254,fair
143,185,252,fair
167,183,230,fair
171,187,230,fair
162,178,221,fair
144,185,248,fair
144,170,237,fair
126,165,217,fair
166,180,232,fair
154,171,220,fair
167,185,232,fair
167,183,230,fair
166,184,231,fair
155,192,254,fair
149,187,251,fair
149,186,230,fair
158,196,254,fair
168,182,235,fair
149,189,254,fair
133,167,220,fair
147,184,252,fair
150,168,227,fair
147,187,252,fair
